0.001		 1.2727272727272728e-05 		 0.00012727272727272728 		 110000
0.002		 0.000107 		 0.00107 		 100000
0.001		 9.259259259259259e-06 		 9.259259259259259e-05 		 1080000
0.002		 0.000107 		 0.00107 		 100000
0.003		 0.0008500000000000001 		 0.0085 		 20000
0.004		 0.0035700000000000003 		 0.0357 		 10000
0.005		 0.01139 		 0.1139 		 10000
0.001		 5e-06 		 5e-05 		 60000
0.001		 7.2463768115942025e-06 		 7.246376811594203e-05 		 1380000
0.002		 0.00010200000000000001 		 0.00102 		 100000
0.003		 0.000775 		 0.00775 		 20000
0.004		 0.0030099999999999997 		 0.0301 		 10000
