0.003 		0.0028030303030303033 		11000
0.002 		0.0005232558139534884 		43000
0.0015 		0.00016197183098591548 		142000
0.001 		3.470919324577861e-05 		533000
0.003 		0.0029444444444444444 		6000
0.002 		0.0005208333333333333 		32000
0.003 		0.0028888888888888888 		6000
0.003 		0.0028958333333333336 		8000
0.002 		0.0005648148148148148 		36000
0.0015 		0.00017530864197530863 		135000
0.001 		3.7460317460317464e-05 		525000
0.0015 		0.00016099773242630384 		147000
0.002 		0.000574561403508772 		38000
0.003 		0.0030833333333333333 		8000
0.001 		3.165988240615106e-05 		737000
0.0015 		0.00014571428571428572 		175000
0.002 		0.0005296296296296296 		45000
0.003 		0.0028125000000000003 		8000
