# 30 100 100
0.001		 1.079664570230608e-05 		 0.00019433962264150942 		 530000
0.002		 0.00017638888888888888 		 0.003175 		 40000
# 30 100 2730
0.001		 8.251633986928105e-06 		 0.00014852941176470588 		 680000
0.002		 0.00018194444444444445 		 0.003275 		 40000
# 30 1000 27300.001		 7.555555555555555e-06 		 0.000136 		 750000
0.001		 1.1689814814814815e-05 		 0.00021041666666666667 		 480000
0.003		 0.0015928571428571428 		 0.02867142857142857 		 70000
# 1000 1000 2730
0.001		 1.3178294573643412e-05 		 0.0002372093023255814 		 430000
0.001		 6.17283950617284e-06 		 0.00011111111111111112 		 900000
