0.001		 3.391812865497076e-05 		 0.00020350877192982456 		 570000
0.002		 0.00039999999999999996 		 0.0024 		 50000
0.003		 0.0023166666666666665 		 0.0139 		 10000
0.004		 0.007233333333333334 		 0.0434 		 10000
0.005		 0.017583333333333333 		 0.1055 		 10000
# A partir de aquí he cambiado las iteraciones de bp:

0.001		 2.671957671957672e-05 		 0.00016031746031746033 		 630000
0.002		 0.00038333333333333334 		 0.0023 		 50000
0.003		 0.0022833333333333334 		 0.0137 		 10000
0.004		 0.006683333333333333 		 0.0401 		 10000
0.005		 0.0162 		 0.0972 		 10000
